Datetime,Fall,Nonfall,F1score,Loss,Personalisation(%)
18-07-2023 13:35:48,2,2,0.0,36.04365338911715,10.0
18-07-2023 13:38:14,2,2,0.0,36.04365338911715,20.0
26-07-2023 17:41:02,0,38,0.6666666666666666,18.021826694558577,0.0
26-07-2023 18:14:29,0,38,0.6666666666666666,18.021826694558577,10.0
26-07-2023 18:21:12,0,38,0.6666666666666666,18.021826694558577,10.0
27-07-2023 10:51:26,0,38,0.6666666666666666,18.021826694558577,20.0
27-07-2023 11:00:21,0,38,0.4,27.032740041837865,10.0
27-07-2023 11:04:35,0,38,0.6666666666666666,18.021826694558577,30.0
27-07-2023 11:08:46,0,38,0.8571428571428571,9.010913347279288,40.0
27-07-2023 11:14:33,0,38,0.6666666666666666,18.021826694558577,50.0
27-07-2023 11:27:29,0,38,0.8571428571428571,9.010913347279288,60.0
27-07-2023 11:32:42,0,38,0.2222222222222222,31.53819671547751,70.0
27-07-2023 12:13:49,0,38,0.7692307692307693,13.516370020918933,80.0
27-07-2023 12:17:57,0,38,0.9333333333333332,4.505456673639644,90.0
27-07-2023 12:21:51,0,38,0.6666666666666666,18.021826694558577,100.0
31-08-2023 13:53:05,0,38,0.8571428571428571,9.010913347279288,100.0
